Word,Position,Frequency,MI,Log-Likelihood
daha,left,11,5.1967,79.2465
var,vakit,11,4.9741,75.8514
beş,left,7,7.2404,70.2612
bir,left,18,2.1662,54.0549
tamam,vakit,4,8.6170,47.7825
daraldıkça,vakit,2,12.4498,34.5183
tamamdır,vakit,2,11.8649,32.8964
dar,left,3,7.2404,30.1119
nabzı,vakit,2,10.4498,28.9731
geldiğim,left,2,9.6425,26.7347
az,vakit,3,6.3001,26.2014
anlattı,left,2,8.9263,24.7489
yiyip,vakit,2,8.8060,24.4154
te,vakit,2,8.2404,22.8472
hiçbir,left,3,5.2866,21.9864
erken,vakit,2,7.2404,20.0746
kızlar,vakit,2,7.0575,19.5676
henüz,left,2,6.7774,18.7910
dar,vakit,2,6.6554,18.4528
bir,vakit,10,1.3182,18.2748
çıktıkları,left,1,12.4498,17.2591
fâilün,left,1,12.4498,17.2591
götürmeden,left,1,12.4498,17.2591
gerdiğim,left,1,12.4498,17.2591
saçaklandığı,left,1,12.4498,17.2591
kalk…,left,1,12.4498,17.2591
ezmeyesin,left,1,12.4498,17.2591
daldığın,left,1,12.4498,17.2591
vakitli,left,1,12.4498,17.2591
hahama,left,1,12.4498,17.2591
göçtüğün,left,1,12.4498,17.2591
resepsiyon,vakit,1,12.4498,17.2591
omuzlarım,vakit,1,12.4498,17.2591
zindanların,vakit,1,12.4498,17.2591
doğumgünü,vakit,1,12.4498,17.2591
yetiştin,vakit,1,12.4498,17.2591
semtime,vakit,1,12.4498,17.2591
üsküdarlıyız,vakit,1,12.4498,17.2591
estağfirullaaaaah,vakit,1,12.4498,17.2591
şakaya,vakit,1,12.4498,17.2591
abdestle,vakit,1,12.4498,17.2591
damgalayıp,vakit,1,12.4498,17.2591
tamam.yaz,vakit,1,12.4498,17.2591
geçirmekten,vakit,1,12.4498,17.2591
baş,left,2,6.1461,17.0405
o,left,5,2.4467,16.9596
geç,left,2,5.7845,16.0381
güttüğüm,left,1,11.4498,15.8729
benzediği,left,1,11.4498,15.8729
boğazında,left,1,11.4498,15.8729
mahluktur,left,1,11.4498,15.8729
omzum,vakit,1,11.4498,15.8729
ayrılmamıştı,vakit,1,11.4498,15.8729
yürüyebilir,vakit,1,11.4498,15.8729
tedbir,vakit,1,11.4498,15.8729
soracak,left,1,10.8649,15.0619
tenhaydı,left,1,10.8649,15.0619
öterse,left,1,10.8649,15.0619
kalmıyor,vakit,1,10.8649,15.0619
gelişir,vakit,1,10.8649,15.0619
i̇ğrenç,vakit,1,10.8649,15.0619
taşınır,vakit,1,10.8649,15.0619
diriliş,vakit,1,10.8649,15.0619
seyredin,vakit,1,10.8649,15.0619
konuğu,vakit,1,10.8649,15.0619
biliyorlar,left,1,10.4498,14.4866
dolduğu,left,1,10.4498,14.4866
kalmazdı,vakit,1,10.4498,14.4866
delirdi,vakit,1,10.4498,14.4866
bulamadık,vakit,1,10.4498,14.4866
dardı,vakit,1,10.4498,14.4866
girdiğin,left,1,10.1279,14.0403
dökülüyordu,left,1,10.1279,14.0403
akşamdı,vakit,1,10.1279,14.0403
semadan,vakit,1,10.1279,14.0403
söylemesi,left,1,9.8649,13.6756
sürüleri,vakit,1,9.8649,13.6756
ararsın,vakit,1,9.6425,13.3673
konuşmadan,vakit,1,9.6425,13.3673
tutmadı,vakit,1,9.4498,13.1003
kurtaracak,vakit,1,9.4498,13.1003
geçtiğin,left,1,9.2799,12.8647
geçirir,vakit,1,9.2799,12.8647
çiçeklere,left,1,9.1279,12.6540
sesleniyorum,left,1,8.9904,12.4634
içtiğin,left,1,8.9904,12.4634
açıktır,vakit,1,8.9904,12.4634
kıymetli,vakit,1,8.9904,12.4634
burdayım,left,1,8.8649,12.2893
duyulmaz,left,1,8.8649,12.2893
hepimizi,left,1,8.8649,12.2893
hasat,vakit,1,8.8649,12.2893
kapanmış,vakit,1,8.8649,12.2893
vakitsiz,vakit,1,8.8649,12.2893
kaynak,vakit,1,8.8649,12.2893
dediğim,left,1,8.7494,12.1293
kurur,vakit,1,8.7494,12.1293
kehribar,vakit,1,8.7494,12.1293
suyundan,vakit,1,8.7494,12.1293
ağlamaya,left,1,8.6425,11.9810
ulaşır,left,1,8.6425,11.9810
ulaşır,vakit,1,8.6425,11.9810
gülerdi,vakit,1,8.6425,11.9810
nasihat,vakit,1,8.5430,11.8430
bakmaya,left,1,8.4498,11.7140
ikindi,vakit,1,8.4498,11.7140
ölümüne,vakit,1,8.3624,11.5927
kusursuz,vakit,1,8.3624,11.5927
aynalara,vakit,1,8.3624,11.5927
bulduk,vakit,1,8.2799,11.4784
geldiği,left,1,8.2019,11.3703
göğsümü,vakit,1,8.2019,11.3703
düştüğü,left,1,7.9904,11.0771
5,left,1,7.9904,11.0771
değişen,vakit,1,7.9904,11.0771
söze,left,1,7.8649,10.9030
gördüğün,left,1,7.6950,10.6675
gürül,vakit,1,7.4055,10.2661
dolar,vakit,1,7.3624,10.2064
yaşadığımız,vakit,1,7.3206,10.1485
olmuyor,vakit,1,7.3206,10.1485
zindan,left,1,7.2799,10.0921
verdiğin,left,1,7.2019,9.9840
kalıyor,left,1,7.2019,9.9840
yahut,left,1,6.9904,9.6908
hayli,left,1,6.8953,9.5589
yağan,vakit,1,6.8953,9.5589
durgun,vakit,1,6.8649,9.5167
bu,left,4,1.7122,9.4943
kapının,vakit,1,6.7219,9.3186
gelince,left,1,6.5919,9.1383
gelince,vakit,1,6.5919,9.1383
dönen,left,1,6.5672,9.1041
olmadı,vakit,1,6.4956,9.0049
zalim,vakit,1,6.4726,8.9729
kabul,vakit,1,6.4055,8.8798
denizi,vakit,1,6.3838,8.8498
simdi,left,1,6.3413,8.7909
üstelik,left,1,6.3206,8.7622
herşey,left,1,6.2600,8.6782
istersen,vakit,1,6.2600,8.6782
erkek,left,1,6.1100,8.4703
gelsin,vakit,1,5.9741,8.2819
başım,vakit,1,5.9263,8.2156
sabaha,vakit,1,5.9263,8.2156
burda,left,1,5.8649,8.1305
bütün,left,2,2.9136,8.0782
çok,vakit,2,2.8981,8.0353
tren,vakit,1,5.7774,8.0092
çoktan,vakit,1,5.6297,7.8044
vakit,left,1,5.5919,7.7520
vakit,vakit,1,5.5919,7.7520
gitme,left,1,5.5795,7.7348
göre,vakit,1,5.5795,7.7348
ellerim,vakit,1,5.5550,7.7009
nerede,left,1,5.4956,7.6186
bazı,left,1,5.4612,7.5708
yanar,vakit,1,5.4498,7.5551
ana,vakit,1,5.3624,7.4338
aklıma,vakit,1,5.3518,7.4192
dek,vakit,1,5.2699,7.3057
ne,left,3,1.7319,7.2027
burada,left,1,4.9904,6.9182
hele,left,1,4.9580,6.8732
sular,vakit,1,4.8499,6.7234
bende,vakit,1,4.8425,6.7132
ister,left,1,4.8205,6.6826
çıkar,vakit,1,4.7845,6.6327
geç,vakit,1,4.7845,6.6327
yoktur,left,1,4.7356,6.5649
saat,left,1,4.6883,6.4994
saat,vakit,1,4.6883,6.4994
tam,vakit,1,4.6883,6.4994
yar,left,1,4.6489,6.4448
geçen,vakit,1,4.5981,6.3743
geçer,left,1,4.4498,6.1688
geçer,vakit,1,4.4498,6.1688
kendimi,vakit,1,4.3001,5.9612
al,vakit,1,4.1100,5.6977
yol,vakit,1,3.9945,5.5376
yere,left,1,3.9904,5.5319
geldi,vakit,1,3.9620,5.4925
aynı,left,1,3.9540,5.4814
yağmur,vakit,1,3.9263,5.4430
kimi,left,1,3.8800,5.3788
yeni,left,1,3.6106,5.0054
biraz,left,1,3.5611,4.9367
vardı,left,1,3.5520,4.9241
uzun,left,1,3.5015,4.8541
hem,vakit,1,3.3257,4.6104
ile,left,1,2.6701,3.7016
olur,left,1,2.6044,3.6104
gece,vakit,1,2.5888,3.5888
böyle,left,1,2.4841,3.4436
güzel,left,1,2.3905,3.3139
o,vakit,2,1.1248,3.1187
yok,vakit,1,2.1842,3.0280
hiç,vakit,1,2.1472,2.9767
sonra,left,1,2.1022,2.9143
sana,vakit,1,1.9253,2.6690
çok,left,1,1.8981,2.6314
ve,vakit,2,0.4747,1.3162
sen,vakit,1,0.9455,1.3108
her,left,1,0.8146,1.1292
ki,left,1,0.7801,1.0814
gibi,left,1,0.3561,0.4937
bu,vakit,1,-0.2878,-0.3990
