Word,Position,Frequency,MI,Log-Likelihood
ne,left,237,4.5306,1488.5382
o,left,236,4.5024,1473.0314
her,left,112,4.1169,639.2067
bir,left,202,2.1495,601.9191
hiçbir,left,60,6.1035,507.6735
zaman,left,38,3.8297,201.7441
zaman,right,38,3.8297,201.7441
kimi,left,28,5.1823,201.1568
geçmiş,left,17,6.1015,143.7943
geçen,left,15,4.9999,103.9706
eski,left,18,4.1007,102.3258
olduğu,left,13,5.6340,101.5349
elime,right,8,6.6594,73.8549
yavşak,left,6,8.7224,72.5508
içsek,right,6,8.7224,72.5508
sevdimse,right,6,8.7224,72.5508
evvel,left,9,5.7749,72.0509
bunca,left,10,5.0283,69.7072
olmuştur,right,7,7.0517,68.4301
içinde,right,15,3.1810,66.1475
ayrılık,right,10,4.7669,66.0828
sızladığı,left,5,8.9448,62.0005
aynı,left,11,3.9084,59.5996
uzun,left,12,3.5814,59.5782
bir,right,68,0.5787,54.5549
da,right,21,1.8009,52.4269
hayli,left,6,5.9752,49.7000
kısıtlı,left,4,8.9448,49.6004
bütün,left,15,2.3154,48.1480
kaç,left,9,3.8064,47.4908
geçti,right,8,4.1899,46.4675
çalmaya,right,4,8.3598,46.3567
çalmadım,right,4,8.3598,46.3567
görürüm,right,5,6.6818,46.3144
öldüğüm,left,4,8.1374,45.1235
olmadığın,left,4,7.9448,44.0552
yalanlardan,right,4,7.9448,44.0552
unutuluşun,right,4,7.9448,44.0552
kuşunun,right,4,7.6229,42.2701
eyledi,left,5,5.8073,40.2530
başlıyor,right,5,5.7432,39.8085
söyler,left,6,4.7749,39.7162
geçti,left,7,3.9973,38.7896
hatırlatan,left,4,6.9448,38.5101
şimdiki,left,4,6.8573,38.0251
mayıs'tı,right,3,8.9448,37.2003
geçmişi,left,4,6.6969,37.1353
çoğu,left,5,5.3360,36.9862
koparıp,right,4,6.5525,36.3346
âhir,left,3,8.2078,34.1354
işkencesi,right,3,8.2078,34.1354
durdurmak,right,3,8.2078,34.1354
bizi,right,8,2.9993,33.2638
unutmamak,right,3,7.9448,33.0414
geçsin,right,4,5.8155,32.2480
gelecek,left,5,4.4465,30.8210
yeryüzünde,right,4,5.4212,30.0616
gene,right,5,4.2443,29.4196
ahir,left,3,6.9448,28.8826
duyarsın,right,3,6.9448,28.8826
seni,right,13,1.5954,28.7516
beri,right,5,3.9813,27.5964
hatta,left,4,4.9004,27.1735
bitecek,right,3,6.3598,26.4498
düşünsem,right,3,6.1374,25.5249
her,right,15,1.2164,25.2946
zamandın,left,2,8.9448,24.8002
göremediğim,left,2,8.9448,24.8002
ötmenin,left,2,8.9448,24.8002
sürüdü,left,2,8.9448,24.8002
dondurdukça,right,2,8.9448,24.8002
dondurunca,right,2,8.9448,24.8002
kopabiliyor,right,2,8.9448,24.8002
kalakalırım,right,2,8.9448,24.8002
içinizdedir,right,2,8.9448,24.8002
vitrininde,right,2,8.9448,24.8002
çarkları,right,2,8.9448,24.8002
aşımını,right,2,8.9448,24.8002
içeceğiz,right,2,8.9448,24.8002
dediği,left,3,5.8859,24.4787
hep,right,9,1.9599,24.4529
çok,left,10,1.7150,23.7750
içimde,left,5,3.3719,23.3722
uzağa,right,3,5.5756,23.1881
çaktığım,left,2,8.3598,23.1784
haib,right,2,8.3598,23.1784
aşığıyım,right,2,8.3598,23.1784
sevdiysem,right,2,8.3598,23.1784
diyeceğiz,right,2,8.3598,23.1784
sonra,right,9,1.7671,22.0474
kapandığı,left,2,7.9448,22.0276
dolaştığı,left,2,7.9448,22.0276
uyandığın,left,2,7.9448,22.0276
hazirandı,right,2,7.9448,22.0276
öğrenirsin,right,2,7.9448,22.0276
sensin,right,4,3.8787,21.5081
çöktüğü,left,2,7.6229,21.1350
bağla,left,2,7.6229,21.1350
istedikçe,left,2,7.6229,21.1350
samsun,right,2,7.6229,21.1350
unutuyor,right,2,7.6229,21.1350
evlerde,left,3,4.9752,20.6911
yaktığım,left,2,7.3598,20.4058
açtığım,left,2,7.3598,20.4058
i̇çimin,right,2,7.3598,20.4058
düşündüğün,right,2,7.3598,20.4058
kopmak,right,2,7.3598,20.4058
gazetesi,right,2,7.3598,20.4058
ilerliyor,right,2,7.3598,20.4058
ahır,left,2,7.1374,19.7892
dağılsın,right,2,7.1374,19.7892
okuduk,right,2,7.1374,19.7892
iyileşmez,right,2,7.1374,19.7892
kırıntıları,right,2,7.1374,19.7892
gösterdiği,left,2,6.9448,19.2550
saklanmış,left,2,6.9448,19.2550
toptan,right,2,6.9448,19.2550
gördüğüm,left,3,4.5990,19.1267
kadar,right,9,1.5269,19.0510
şimdi,right,8,1.7160,19.0307
yağmur,right,5,2.7432,19.0141
kadındır,left,2,6.7749,18.7839
geçmeyen,left,2,6.7749,18.7839
meydan,right,3,4.5074,18.7457
gördüm,right,5,2.6631,18.4591
gülecek,right,2,6.6229,18.3625
sevdim,right,4,3.2583,18.0678
kimseyle,right,2,6.4854,17.9812
tam,left,4,3.1832,17.6516
aydınlığında,right,2,6.3598,17.6332
böyle,left,7,1.7864,17.3349
öğrendim,right,3,4.1547,17.2789
dokunsam,right,2,6.1374,17.0166
